Name,Price,URL
Яйцо куриное ОКСКОЕ СО,"129,99 ₽",https://lenta.com/product/yajjco-kurinoe-so-rossiya-10sht-127515/
Яйцо куриное ОКСКОЕ С1,"136,89 ₽",https://lenta.com/product/yajjco-kurinoe-s1-rossiya-10sht-139201/
"Сметана ПРОСТОКВАШИНО 15%, без змж","104,99 ₽",https://lenta.com/product/smetana-15-bez-zmzh-rossiya-300g-578977/
"Сметана ДОМИК В ДЕРЕВНЕ 15%, без змж","110,59 ₽",https://lenta.com/product/smetana-15-mst-bez-zmzh-rossiya-300g-463130/
"Закваска для кефира VIVO, без змж, 4x0","84,99 ₽",https://lenta.com/product/zakvaska-dlya-kefira-bez-zmzh-rossiya-405g-433727/
"Масло сливочное ЭКОНИВА Традиционное 82,5%, без змж","121,09 ₽",https://lenta.com/product/maslo-slivochnoe-tradicionnoe-825-bez-zmzh-rossiya-180g-583114/
"Подарочный набор PLAY ME Любимые герои Шоколадные шарики, без змж","84,99 ₽",https://lenta.com/product/podarochnyjj-nabor-shokoladnye-shariki-lyubimye-geroi-bez-zmzh-rossiya-50g-581281/
"Сметана ПРОСТОКВАШИНО 20%, без змж","147,36 ₽",https://lenta.com/product/smetana-20-bez-zmzh-rossiya-300g-579543/
"Напиток безалкогольный ЭКОНАД Стройность, на молочной сыворотке с натуральным экстрактом Саган Дайля","299,99 ₽",https://lenta.com/product/napitok-bezalkogolnyjj-strojjnost-na-mol-syv-s-nat-ekstrak-sagan-dajjlya-srg-rossiya-330ml-749059/
Яйцо куриное 365 ДНЕЙ СО,"389,47 ₽",https://lenta.com/product/yajjco-kurinoe-s0-rossiya-10sht-674564/
"Сметана ВКУСНОТЕЕВО 20%, без змж","189,99 ₽",https://lenta.com/product/smetana-200-bez-zmzh-rossiya-300g-435780/
"Подарочный набор для мальчика PLAY ME Шоколадные шарики, без змж","368,42 ₽",https://lenta.com/product/podarochnyjj-nabor-shokoladnye-shariki-dlya-malchikov-bez-zmzh-rossiya-50g-581186/
"Молоко пастеризованное ЛЕНТА 3,2%, без змж","149,99 ₽",https://lenta.com/product/moloko-pasterizovannoe-32-pet-bez-zmzh-rossiya-900ml-671968/
"Масло сливочное БРЕСТ-ЛИТОВСК 82,5%, без змж","178,99 ₽",https://lenta.com/product/maslo-slivochnoe-brest-litovskoe-825-bez-zmzh-belarus-180g-253387/
"Подарочный набор для девочки PLAY ME Шоколадные шарики для молочного завтрака, без змж","104,99 ₽",https://lenta.com/product/podarochnyjj-nabor-shokolad-shariki-dmoloch-zavtraka-dlya-devochek-bez-zmzh-rossiya-50g-552512/
"Напиток ЭКОНАД на основе молочной сыворотки с натуральным экстрактом липы, среднегазированный","157,89 ₽",https://lenta.com/product/napitok-ba-na-osn-mol-syv-s-nat-ekstraktom-lipy-srgaz-rossiya-330ml-794210/
"Продукт творожный ДАНИССИМО Браво с изысканным шоколадом 6,7%, без змж","119,99 ₽",https://lenta.com/product/produkt-tvorozhnyjj-bravo-s-shokoladom-67-bez-zmzh-rossiya-130g-022885/
"Коктейль мороженое БОГДАША Клубничный пломбир 1,5%, без змж","157,89 ₽",https://lenta.com/product/koktejjl-morozhenoe-klubnichnyjj-plombir-15-bez-zmzh-rossiya-900g-743874/
Сгущенка овсяная SAMUI,"80,99 ₽",https://lenta.com/product/sgushchenka-ovsyanaya-tailand-200g-713004/
"Молоко ультрапастеризованное СЕВЕРНАЯ ДОЛИНА 3,2%, без змж","85,29 ₽",https://lenta.com/product/moloko-upast-32-tbaslim-bez-zmzh-rossiya-950g-222707/
"Масса творожная РОСТАГРОЭКСПОРТ Особая с изюмом 23%, без змж","99,99 ₽",https://lenta.com/product/massa-tvorozhnaya-osobaya-23-s-izyumom-bez-zmzh-rossiya-180g-260664/
Яйцо куриное РОСКАР Экстра СО столовое,"157,89 ₽",https://lenta.com/product/yajjco-kurinoe-stolovoe-ekstra-s0-rossiya-10sht-025080/
Напиток растительный ультрапастеризованный TAKE A BITE Шоколад,"149,99 ₽",https://lenta.com/product/napitok-rastitelnyjj-shokolad-ultrapasterizovannyjj-rossiya-1000ml-729094/
"Масло сливочное ВКУСНОТЕЕВО Традиционное 82,5%, без змж","178,99 ₽",https://lenta.com/product/maslo-slivochnoe-tradicionnoe-825-bez-zmzh-rossiya-180g-743324/
"Сырок творожный глазированный РОСТАГРОЭКСПОРТ с вареной сгущенкой 15%, c змж","87,99 ₽",https://lenta.com/product/syrok-glazirovannyjj-tvor-s-varenojj-sgushchenkojj-15-floupak-s-zmzh-rossiya-45g-486279/
"Молоко пастеризованное ДОМИК В ДЕРЕВНЕ 2,5%, без змж","111,59 ₽",https://lenta.com/product/moloko-past-25-bez-zmzh-rossiya-930ml-179799/
"Сырок творожный глазированный РОСТАГРОЭКСПОРТ с ванилином 20%, без змж","199,99 ₽",https://lenta.com/product/syrok-glazirovannyjj-tvors-vanilinom-20-floupak-bez-zmzh-rossiya-45g-486278/
"Творог ИСКРЕННЕ ВАШ 5%, без змж","322,19 ₽",https://lenta.com/product/tvorog-5-bez-zmzh-rossiya-180g-539860/
"Коктейль молочный БЕЛЫЙ ГОРОД Ваниль 1,5%, без змж","149,99 ₽",https://lenta.com/product/koktejjl-molochnyjj-upast-s-aromatom-vanili-15-bez-zmzh-rossiya-200g-307921/
Яйцо куриное ЛЕНТА СО,"178,99 ₽",https://lenta.com/product/yajjco-kurinoe-s0-rossiya-30sht-736679/
Напиток растительный пастеризованный TAKE A BITE Соевый,"119,99 ₽",https://lenta.com/product/napitok-soevyjj-pasterizovannyjj-rossiya-1000ml-469922/
"Творог детский АГУША Первая ложка Классический 4,5%, с 6 месяцев, без змж","157,89 ₽",https://lenta.com/product/tvorog-detskijj-klassicheskijj-s-6-mes-45-bez-zmzh-rossiya-100g-081092/
Пирожное бисквитное KINDER Молочный ломтик с молочной начинкой,"49,99 ₽",https://lenta.com/product/pirozhnoe-molochnyjj-lomtik-biskvitnoe-s-molochnojj-nachinkojj-germaniya-28g-059568/
"Закваска САМОКВАШИНО Биокефир Домашний, без змж","79,99 ₽",https://lenta.com/product/zakvaska-biokefir-domashnijj-sashe-bez-zmzh-rossiya-2g-647303/
Напиток растительный пастеризованный TAKE A BITE Овсяный,"169,99 ₽",https://lenta.com/product/napitok-ovsyanyjj-pasterizovannyjj-rossiya-1000ml-469924/
"Молоко пастеризованное ПРОСТОКВАШИНО 3,2%, без змж","210,59 ₽",https://lenta.com/product/moloko-past-32-bez-zmzh-rossiya-1400ml-670751/
"Продукт йогуртный НЕЖНЫЙ Легкий с соком персика 0,1%, без змж","244,99 ₽",https://lenta.com/product/produkt-jjogurtnyjj-past-legkijj-01-s-sokom-persika-bez-zmzh-rossiya-95g-495901/
"Подарочный набор детский КОНФИТРЕЙД Трубочки для молока Малина, клубника, карамель, без змж","294,79 ₽",https://lenta.com/product/podarochnyjj-nabor-trubochki-dmol-malinaklubkaramel-bez-zmzh-rossiya-18g-552426/
"Молоко ультрапастеризованное ЭКОНИВА 3,2%, без змж","89,99 ₽",https://lenta.com/product/moloko-upaster-32-bez-zmzh-rossiya-1000ml-512875/
"Творог ПРОСТОКВАШИНО 5%, без змж","122,19 ₽",https://lenta.com/product/tvorog-5-bez-zmzh-rossiya-200g-579608/
Доп.скидка 10%,"149,99 ₽",https://lenta.com/product/masliny-chernye-krupnye-bk-ispaniya-370ml-382846/
Доп.скидка 10%,"221,09 ₽",https://lenta.com/product/masliny-chernye-bk-belarus-300314ml-388155/
Оливки без косточки БОНДЮЭЛЬ,"101,99 ₽",https://lenta.com/product/olivki-zelenye-bk-ispaniya-314ml-119127/
Доп.скидка 10%,"107,39 ₽",https://lenta.com/product/olivki-zelenye-bk-ispaniya-300314ml-388153/
Доп.скидка 10%,"159,99 ₽",https://lenta.com/product/olivki-zelenye-krupnye-bk-belarus-370ml-382859/
Доп.скидка 10%,"263,15 ₽",https://lenta.com/product/olivki-zelenye-farshirovannye-c-limonom-zhb-ispaniya-280g-722959/
Оливки с лимоном БОНДЮЭЛЬ,"86,99 ₽",https://lenta.com/product/olivki-mansanilya-s-limonom-ispaniya-300g-492777/
Оливки без косточки ITLV зеленые,"91,59 ₽",https://lenta.com/product/olivki-bk-zelenye-klyuch-ispaniya-300g-007462/
Оливки с лимоном ITLV,"169,99 ₽",https://lenta.com/product/olivki-s-limonom-klyuch-ispaniya-300g-007466/
Маслины без косточки ITLV Selecto,"221,09 ₽",https://lenta.com/product/masliny-selecto-bk-ispaniya-170g-230030/
Доп.скидка 10%,"99,99 ₽",https://lenta.com/product/olivki-zelenye-farshirov-c-anchousom-zhb-ispaniya-280g-722946/
Маслины без косточки ITLV Selecto черные,"105,29 ₽",https://lenta.com/product/masliny-selecto-chernye-bk-klyuch-ispaniya-350g-192610/
"Смесь оливок и маслин с косточкой DOLCE ALBERO с травами, чили и чесноком","174,99 ₽",https://lenta.com/product/smes-maslin-i-olivok-s-travami-chili-i-chesnokom-sk-greciya-150g-526880/
Маслины без косточки BONVIDA целые,"263,15 ₽",https://lenta.com/product/masliny-chernye-celye-bk-st-ispaniya-965ml-543872/
Доп.скидка 10%,"199,99 ₽",https://lenta.com/product/olivki-farshirovannye-limonom-ispaniya-314ml-508808/
Маслины без косточки ITLV Clasico,"273,69 ₽",https://lenta.com/product/masliny-clasico-bk-ispaniya-314ml-147992/
Маслины без косточки ITLV Super черные,"204,99 ₽",https://lenta.com/product/masliny-super-chernye-bk-klyuch-ispaniya-350g-009464/
